contract_id,published_date_year,published_date_month,days _between_published_and_start,duration_extension,duration,total_duration,participants_no,quantity_annual,quantity_total,maximum_price_allowed,buyer_1,buyer_2,buyer_3,buyer_4,buyer_5,buyer_6,buyer_7,buyer_8,buyer_9,buyer_10,buyer_11,buyer_12,buyer_13,buyer_14,buyer_15,buyer_16,buyer_17,buyer_18,buyer_19,region_1,region_2,region_3,region_4,region_5,region_6,region_7,region_8,region_9,region_10,region_11,region_12,region_13,region_14,region_15,region_16,regional,extended,difference_from_second_place_price,difference_from_third_place_price,difference_from_fourth_place_price,winner_price
1,0,0.363636364,0.235294118,0.384615385,0.75,0.576271186,0,0.118855978,0.099165309,1.57545E-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.00780156
2,0,0.272727273,0.39100346,0,1,0.559322034,0,0.7242434,0.724962722,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139827966
3,0,0.363636364,0.252595156,0.730769231,0.666666667,0.677966102,0,0.008746512,0.008726052,4.72083E-07,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.49989998
4,0,1,0.204152249,0.230769231,0.666666667,0.457627119,0,0,0,7.88119E-10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
5,0,1,0.474048443,0.538461538,1,0.796610169,0,0.014595407,0.019169741,4.01152E-07,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.379875975
6,0.1,0.090909091,0.020761246,0.115384615,0,0,0,0.207796737,0.046757276,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
7,0.1,0.181818182,0.467128028,0.384615385,0.666666667,0.525423729,1,0.125187809,0.09577467,1.2602E-06,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.004084485,0.201094133,0.861920359,0.599919984
8,0.1,0.181818182,0.460207612,0.230769231,0.333333333,0.254237288,0,0.220178686,0.106006628,7.88119E-10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
9,0.1,0.727272727,0.183391003,0.269230769,0.666666667,0.474576271,0,0.033094548,0.024985267,7.88119E-10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0.00180036
10,0.2,0.090909091,0.044982699,0.115384615,0,0,0,0.207796737,0.046174472,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.00080016
